Subject,TrialType,MeanPeakStat,MeanClusterSize
sub-001,otherneutralanticipation,3.3776049708962566,27.0
sub-001,otherpainpaincue,3.763690666621726,54.0
sub-001,otherpainrest,3.7245968026749297,32.4
sub-001,selfneutralanticipation,3.416861090012197,45.0
sub-001,selfnopain,3.511530207926412,27.0
sub-001,selfnopainrest,3.3712042303791456,27.0
sub-002,otherneutralanticipation,3.5797378525606884,27.0
sub-002,othernopain,3.783207648306109,54.0
sub-002,otherpainpaincue,3.634405501859586,37.8
sub-002,selfneutralcue,3.465128718780138,45.0
sub-002,selfnopain,3.3233447403273995,27.0
sub-002,selfpainanticipation,3.519393209041842,45.0
sub-002,selfpainrest,3.2799062902054272,27.0
sub-003,otherpain,3.318748551423525,27.0
sub-003,otherpainanticipation,4.106177493713973,27.0
sub-003,otherpainrest,3.7455644855119137,27.0
sub-003,selfneutralanticipation,3.2795749511282097,27.0
sub-003,selfnopain,3.543438017596725,27.0
sub-003,selfnopainrest,3.5359919178400463,27.0
sub-003,selfpain,3.5553381580339725,27.0
sub-003,selfpainanticipation,3.2139869337530413,27.0
sub-003,selfpainpaincue,3.2759361284379116,27.0
sub-003,selfpainrest,3.479523659425467,27.0
sub-004,othernopainrest,3.3400587298245457,27.0
sub-004,otherpainanticipation,3.1861334392114573,27.0
sub-004,otherpainpaincue,3.3914599405728016,27.0
sub-004,otherpainrest,3.1438561747611513,27.0
sub-004,selfnopainrest,3.3778168753920212,27.0
sub-004,selfpain,3.9105691554312294,27.0
sub-004,selfpainpaincue,3.597071669931838,29.7
sub-004,selfpainrest,3.469914403472779,27.0
sub-005,otherneutralanticipation,3.4663103301676195,48.6
sub-005,selfneutralcue,3.5298169977885374,54.0
sub-005,selfnopainrest,3.114773322513412,27.0
sub-005,selfpainanticipation,3.397032249821239,27.0
sub-005,selfpainrest,3.6233001914035254,27.0
sub-006,othernopainrest,3.3401998983735943,27.0
sub-006,otherpain,3.103297646546607,27.0
sub-006,otherpainanticipation,3.5236937141673135,27.0
sub-006,otherpainpaincue,3.1760713088102577,27.0
sub-006,selfnopainrest,3.764283837475093,54.0
sub-007,othernopainrest,3.182708479487308,27.0
sub-007,selfnopainrest,3.5652728660635846,27.0
sub-007,selfpain,3.189320023942479,27.0
sub-007,selfpainanticipation,3.138249649256613,27.0
sub-008,otherneutralanticipation,3.2512538123618784,27.0
sub-008,othernopainrest,3.3671177770245726,27.0
sub-008,otherpainanticipation,3.408908233841457,36.0
sub-008,otherpainpaincue,3.1879986535077967,27.0
sub-008,selfneutralcue,3.2212514565740435,33.75
sub-008,selfnopain,3.318396601742341,27.0
sub-008,selfnopainrest,3.47980382565149,27.0
sub-008,selfpainrest,3.2236513408550915,27.0
sub-014,othernopainrest,3.6893107344086586,54.0
sub-014,otherpainpaincue,3.4781594089411976,27.0
sub-014,selfnopain,3.5682903061288904,38.25
sub-014,selfnopainrest,3.3977336653886594,81.0
sub-014,selfpainpaincue,3.205645478109092,27.0
sub-018,otherneutralanticipation,3.360219746398783,54.0
sub-018,othernopain,3.2733265099551936,27.0
sub-018,othernopainrest,3.231041003320408,27.0
sub-018,otherpainanticipation,3.2218439700582175,40.5
sub-018,otherpainpaincue,3.2244461110800073,27.0
sub-018,selfnopain,3.387542369199923,27.0
sub-018,selfpain,3.2741437137818927,27.0
sub-018,selfpainpaincue,3.299409864347228,27.0
sub-031,otherneutralanticipation,3.371811607927224,27.0
sub-031,otherneutralcue,3.140560976876869,27.0
sub-031,othernopainrest,3.4785166092616397,27.0
sub-031,otherpain,3.473906150161277,41.72727272727273
sub-031,otherpainanticipation,4.754940316838674,40.5
sub-031,selfneutralanticipation,3.658809856261177,37.8
sub-031,selfneutralcue,3.1564214074867554,27.0
sub-031,selfnopain,3.403765161084317,27.0
sub-031,selfnopainrest,3.2291479077150544,27.0
sub-031,selfpain,3.2016982697051866,27.0
sub-031,selfpainpaincue,3.3867355622156263,27.0
sub-031,selfpainrest,3.213680510434304,27.0
sub-034,otherneutralanticipation,3.294363025879094,27.0
sub-034,otherneutralcue,3.427210427818041,27.0
sub-034,othernopain,3.2470446948927263,40.5
sub-034,otherpain,3.289971411815502,27.0
sub-034,selfneutralanticipation,3.4358544748715993,27.0
sub-034,selfneutralcue,3.1670175651266543,27.0
sub-034,selfnopainrest,3.116617307585813,27.0
sub-034,selfpainanticipation,3.5673582008736284,27.0
sub-039,othernopainrest,3.5489857937501625,27.0
sub-039,otherpain,3.385446098301374,27.0
sub-039,otherpainrest,3.1992580025833988,27.0
sub-039,selfneutralcue,3.1391832325712348,27.0
sub-039,selfnopain,3.6167797863914095,27.0
sub-039,selfpain,3.380659379747966,27.0
sub-039,selfpainanticipation,3.782220449424496,27.0
sub-039,selfpainrest,3.3230779764202767,27.0
sub-043,othernopain,3.5312181606446025,33.75
sub-043,otherpainanticipation,3.434541822797049,27.0
sub-043,selfnopain,3.1421104459918063,27.0
sub-043,selfpain,3.2554542656377756,27.0
sub-043,selfpainanticipation,3.4261139210739042,33.75
sub-050,otherneutralanticipation,3.268588100904256,27.0
sub-050,othernopain,3.1679587232327315,27.0
sub-050,otherpainanticipation,3.10602564269781,27.0
sub-050,otherpainpaincue,3.2356998408178317,27.0
sub-050,otherpainrest,3.248055136168024,27.0
sub-050,selfnopain,3.2358530658867903,27.0
sub-050,selfnopainrest,3.1560164879817685,27.0
sub-050,selfpainpaincue,3.346997503440509,27.0
sub-050,selfpainrest,3.436640372147908,27.0
sub-052,otherpain,3.208430302043949,27.0
sub-052,otherpainrest,3.1269356236189965,27.0
sub-052,selfneutralcue,3.485596565592009,27.0
sub-052,selfpainpaincue,3.530576427042423,27.0
sub-053,otherneutralanticipation,3.1944180370525963,27.0
sub-053,otherneutralcue,3.574347953570981,81.0
sub-053,othernopain,3.426383030058828,27.0
sub-053,otherpain,3.140185179844563,27.0
sub-053,otherpainrest,3.542285193930633,46.63636363636363
sub-057,otherneutralanticipation,3.252970914505022,27.0
sub-057,otherneutralcue,3.257043191196587,27.0
sub-057,othernopainrest,3.516452959555311,27.0
sub-057,otherpainanticipation,3.110629793590157,27.0
sub-057,selfneutralcue,3.19766344981782,27.0
sub-057,selfpainpaincue,3.3403129376660257,27.0
sub-057,selfpainrest,3.1570045761234407,27.0
sub-058,otherneutralanticipation,3.131362571187545,27.0
sub-058,otherneutralcue,3.8579956401967648,27.0
sub-058,otherpainanticipation,3.598689050734097,27.0
sub-058,selfneutralcue,3.125180222702724,27.0
sub-058,selfnopainrest,3.36266036661419,27.0
sub-058,selfpainrest,3.8799170193280665,27.0
sub-063,otherneutralanticipation,3.300935593984349,27.0
sub-063,otherneutralcue,3.6202753988140355,103.5
sub-063,othernopainrest,3.3612683069270304,27.0
sub-063,otherpainanticipation,3.3142799987477742,27.0
sub-063,otherpainrest,3.655175919462292,47.25
sub-063,selfneutralcue,3.5208979407198493,108.0
sub-063,selfpainpaincue,3.824469867175127,27.0
sub-063,selfpainrest,3.259093395339609,27.0
sub-064,othernopainrest,3.4425983716263016,34.36363636363637
sub-064,otherpain,3.258879942757934,27.0
sub-064,otherpainpaincue,3.5710115645216853,54.0
sub-064,selfneutralanticipation,3.277948008308175,27.0
sub-064,selfneutralcue,3.535729087041415,36.642857142857146
sub-064,selfnopain,3.238153106025487,27.0
sub-064,selfpainpaincue,3.212319312268545,27.0
sub-067,otherneutralanticipation,3.650820676292608,27.0
sub-067,othernopainrest,3.4063673002110604,27.0
sub-067,otherpain,3.225263076245481,27.0
sub-067,otherpainrest,3.38308271400572,31.5
sub-067,selfnopain,3.2700232208307427,27.0
sub-067,selfpain,3.3410173717808878,27.0
sub-067,selfpainpaincue,3.647677402321672,27.0
sub-074,otherneutralanticipation,3.518074933634904,27.0
sub-074,otherneutralcue,3.633887838014634,27.0
sub-074,othernopain,3.7400390619223978,47.25
sub-074,othernopainrest,3.156989700191884,27.0
sub-074,otherpain,3.644487734411905,54.0
sub-074,otherpainpaincue,3.6565284964281783,27.0
sub-074,selfneutralanticipation,3.3591239150183645,27.0
sub-074,selfnopain,3.533041283102882,27.0
sub-074,selfpain,3.567870677289744,36.0
sub-074,selfpainanticipation,3.382669338829996,27.0
sub-074,selfpainpaincue,3.1011436641226684,27.0
sub-074,selfpainrest,3.1904670418529815,27.0
sub-075,otherneutralanticipation,3.3911792068816156,63.0
sub-075,othernopain,3.3694064547358664,27.0
sub-075,otherpainpaincue,3.3731809944628672,27.0
sub-075,selfneutralanticipation,3.121878597602786,27.0
sub-075,selfnopainrest,4.06735902306284,81.0
sub-075,selfpain,3.2982895655794477,27.0
sub-075,selfpainrest,3.2336526036031663,27.0
sub-076,otherneutralanticipation,3.811895818556768,54.0
sub-076,otherneutralcue,3.6565153467972658,27.0
sub-076,othernopainrest,3.5521648507874324,27.0
sub-076,otherpain,3.193166816074117,27.0
sub-076,selfneutralanticipation,3.622427899236452,27.0
sub-076,selfneutralcue,3.108827064196749,27.0
sub-076,selfnopain,3.4998826593652095,27.0
sub-076,selfnopainrest,3.467581074298082,27.0
sub-076,selfpainpaincue,3.4010035633390827,27.0
sub-076,selfpainrest,3.139114413876446,27.0
sub-081,otherneutralanticipation,3.3198235747009877,27.0
sub-081,otherpain,3.301536148058706,27.0
sub-088,otherpain,3.4987642213292656,45.0
sub-088,otherpainanticipation,3.6217770179169726,27.0
sub-088,otherpainrest,3.1403869046219635,27.0
sub-088,selfneutralanticipation,3.3284268930753886,27.0
sub-088,selfneutralcue,3.754193749705058,27.0
sub-088,selfnopain,3.291881465425615,27.0
sub-088,selfnopainrest,3.449463127467144,27.0
sub-088,selfpain,3.7889619439022635,40.5
sub-088,selfpainanticipation,3.852993354777277,27.0
sub-088,selfpainrest,3.1325149842106046,27.0
