Subject,TrialType,MeanPeakStat,MeanClusterSize
sub-001,otherneutralcue,3.502573024440863,27.0
sub-001,otherpainpaincue,3.207223364991002,27.0
sub-001,otherpainrest,3.709013826778733,33.75
sub-001,selfneutralanticipation,3.37158414359106,27.0
sub-001,selfpainrest,3.169190185451361,27.0
sub-002,otherneutralanticipation,3.4157382045742075,27.0
sub-002,otherpainpaincue,3.602546684102171,32.4
sub-002,otherpainrest,3.3439205903862432,27.0
sub-002,selfneutralanticipation,3.3641268855493514,27.0
sub-002,selfneutralcue,3.6039973968844747,27.0
sub-002,selfnopain,3.2040246495726583,27.0
sub-002,selfnopainrest,3.702614104684978,27.0
sub-002,selfpainrest,3.1588756642266795,27.0
sub-003,othernopainrest,3.109441306252668,27.0
sub-003,otherpainanticipation,3.3153632196747185,54.0
sub-003,selfnopainrest,3.3585990693740646,27.0
sub-003,selfpain,3.453879327824509,27.0
sub-003,selfpainpaincue,3.138037179292419,27.0
sub-003,selfpainrest,3.6502159191001464,40.5
sub-004,othernopainrest,3.1853241216867514,27.0
sub-004,otherpain,3.349479807286823,27.0
sub-004,otherpainpaincue,3.3196666300718007,27.0
sub-004,otherpainrest,3.365360816905364,27.0
sub-004,selfneutralcue,3.137166179264739,27.0
sub-004,selfnopain,3.6708410235756617,27.0
sub-004,selfnopainrest,3.420526922088074,27.0
sub-004,selfpain,3.4896996126152073,43.2
sub-004,selfpainpaincue,3.2587386546838517,27.0
sub-005,otherneutralanticipation,3.170414694758778,27.0
sub-005,otherpain,3.608939683393895,27.0
sub-005,otherpainanticipation,3.630984074770069,40.5
sub-005,otherpainrest,3.375051471790171,36.0
sub-005,selfneutralcue,3.3964690672239364,27.0
sub-005,selfnopain,3.293447318262691,27.0
sub-005,selfnopainrest,3.131219523575974,27.0
sub-005,selfpainanticipation,3.498431481754329,27.0
sub-006,otherneutralanticipation,3.3523435916102216,27.0
sub-006,otherneutralcue,3.4059778257944178,27.0
sub-006,othernopain,3.7539106301989755,54.0
sub-006,otherpainanticipation,3.300371328547116,27.0
sub-006,otherpainpaincue,3.4740220350514157,27.0
sub-006,otherpainrest,3.5403239077808037,54.0
sub-006,selfneutralanticipation,3.5862121257568154,27.0
sub-006,selfneutralcue,3.167534197825427,27.0
sub-006,selfnopain,3.296234922054742,27.0
sub-006,selfnopainrest,3.1568633984823053,27.0
sub-006,selfpainpaincue,3.639725641924091,27.0
sub-007,othernopainrest,3.1454834296141105,27.0
sub-007,otherpain,3.2814258381726895,27.0
sub-007,otherpainpaincue,3.1997163218166653,27.0
sub-007,selfneutralanticipation,3.223550339413424,27.0
sub-007,selfpain,3.832417776861676,27.0
sub-007,selfpainanticipation,3.345256100437782,27.0
sub-007,selfpainrest,3.2898202094315923,27.0
sub-008,otherneutralanticipation,3.459491873561771,27.0
sub-008,otherneutralcue,3.113627440277196,40.5
sub-008,otherpainanticipation,3.4119270048103387,33.75
sub-008,otherpainpaincue,3.2917911853157333,27.0
sub-008,selfneutralanticipation,3.277583392483238,27.0
sub-008,selfneutralcue,3.1743308644772394,40.5
sub-008,selfnopain,3.1768452115254666,27.0
sub-008,selfnopainrest,3.484846802696159,27.0
sub-008,selfpainanticipation,3.4113494826636734,27.0
sub-008,selfpainpaincue,3.109697565445472,27.0
sub-008,selfpainrest,3.2442599729741546,36.0
sub-014,othernopainrest,3.5566759970753847,54.0
sub-014,otherpain,3.211874510994531,27.0
sub-014,otherpainpaincue,3.8818946687069076,27.0
sub-014,selfnopain,3.72083976196099,50.625
sub-014,selfnopainrest,3.827364582384748,40.5
sub-014,selfpainpaincue,3.1144902711010443,27.0
sub-014,selfpainrest,3.4405447366050383,27.0
sub-018,otherneutralanticipation,3.317594436314567,27.0
sub-018,othernopain,3.2614482174438812,27.0
sub-018,otherpain,3.3055782118663912,27.0
sub-018,otherpainanticipation,4.30251697550949,54.0
sub-018,otherpainrest,3.185326470717871,27.0
sub-018,selfneutralanticipation,3.315481399323136,27.0
sub-018,selfneutralcue,3.2036168347051026,27.0
sub-018,selfnopain,3.469761828335747,27.0
sub-018,selfnopainrest,4.044772495473951,27.0
sub-018,selfpainanticipation,3.4671854828077016,37.8
sub-031,otherneutralanticipation,3.7300039889059384,27.0
sub-031,otherpain,3.332150230698375,36.0
sub-031,otherpainanticipation,3.224416414383538,27.0
sub-031,otherpainpaincue,3.409000202945476,27.0
sub-031,otherpainrest,3.450498567379059,27.0
sub-031,selfneutralanticipation,3.4463680039207736,54.0
sub-031,selfnopain,3.5301290682048196,27.0
sub-031,selfnopainrest,4.154979544475323,54.0
sub-031,selfpainanticipation,3.2076344371265235,27.0
sub-034,otherneutralanticipation,3.2044116838895818,27.0
sub-034,othernopain,4.1563379644694916,27.0
sub-034,otherpain,3.6170083835264317,27.0
sub-034,otherpainanticipation,3.1524109723173015,27.0
sub-034,otherpainpaincue,3.1273493778185,27.0
sub-034,selfpain,3.2453549914313595,54.0
sub-034,selfpainanticipation,3.5544729215884208,36.0
sub-034,selfpainpaincue,3.4486378137696065,27.0
sub-034,selfpainrest,3.2592075466122834,27.0
sub-039,othernopain,3.24637098894255,27.0
sub-039,othernopainrest,3.2068370205202124,27.0
sub-039,otherpain,3.197592220118866,27.0
sub-039,otherpainanticipation,3.1552910695520824,27.0
sub-039,otherpainrest,3.6064208951450962,27.0
sub-039,selfneutralanticipation,3.261210843529563,27.0
sub-039,selfneutralcue,3.2482692472743295,27.0
sub-039,selfnopain,3.346894866273268,47.25
sub-039,selfnopainrest,3.6096460329691578,27.0
sub-039,selfpainanticipation,3.3176279523983414,27.0
sub-039,selfpainpaincue,3.16769058914741,27.0
sub-039,selfpainrest,3.522000933073849,27.0
sub-043,otherneutralcue,3.150470246386648,27.0
sub-043,othernopain,4.015364610043632,27.0
sub-043,otherpain,3.3614431095334396,27.0
sub-043,selfnopain,3.575519124576267,27.0
sub-043,selfpain,3.5650878187114485,27.0
sub-043,selfpainanticipation,3.759600646301726,48.6
sub-043,selfpainpaincue,3.120761048597414,27.0
sub-043,selfpainrest,3.4111042599544805,27.0
sub-050,othernopain,3.447654496773803,27.0
sub-050,othernopainrest,3.611123746365218,27.0
sub-050,otherpainanticipation,3.538046162856238,27.0
sub-050,otherpainpaincue,3.851066938188836,27.0
sub-050,otherpainrest,3.3037999559106472,54.0
sub-050,selfneutralanticipation,3.339480466524925,27.0
sub-050,selfnopain,3.4751483231653544,27.0
sub-050,selfpain,3.17526197293891,27.0
sub-050,selfpainrest,3.1020684740000823,27.0
sub-052,otherneutralanticipation,3.348599610315045,27.0
sub-052,otherpain,3.1160143371993296,27.0
sub-052,otherpainrest,3.1041535961709665,27.0
sub-052,selfpainanticipation,3.2129719452195165,27.0
sub-052,selfpainpaincue,3.283417720904772,27.0
sub-053,otherneutralanticipation,3.450653700358077,27.0
sub-053,othernopain,3.141056518832694,27.0
sub-053,otherpain,3.2944892316881047,27.0
sub-053,otherpainanticipation,3.1627730721241982,27.0
sub-053,otherpainrest,3.485788878105495,27.0
sub-053,selfpainpaincue,3.398551542748965,27.0
sub-057,otherneutralcue,3.410323030389584,27.0
sub-057,othernopain,3.26478159340618,27.0
sub-057,otherpain,3.27244491177797,27.0
sub-057,otherpainanticipation,3.422265208138045,27.0
sub-057,selfneutralcue,3.5499867555579097,27.0
sub-057,selfpainpaincue,3.309651098183216,27.0
sub-058,otherneutralanticipation,3.5036810476758107,27.0
sub-058,otherneutralcue,3.2617927234848247,27.0
sub-058,otherpainanticipation,3.264443585061029,27.0
sub-058,otherpainpaincue,3.3286221689513704,27.0
sub-058,selfpainrest,3.209471682874645,27.0
sub-063,otherneutralanticipation,3.5394623161177314,27.0
sub-063,otherneutralcue,3.5735274826421435,27.0
sub-063,othernopain,3.126163731979747,27.0
sub-063,othernopainrest,3.626367936015348,27.0
sub-063,otherpain,3.1982470984100932,27.0
sub-063,otherpainanticipation,3.208515770301851,27.0
sub-063,otherpainrest,3.343168192445977,27.0
sub-063,selfnopainrest,3.243177128531891,27.0
sub-063,selfpainpaincue,3.2601623476903034,40.5
sub-063,selfpainrest,3.156126375627185,27.0
sub-064,othernopain,3.5048722783947923,27.0
sub-064,othernopainrest,3.6054151989735317,41.53846153846154
sub-064,otherpainpaincue,3.8167060022896,58.15384615384615
sub-064,otherpainrest,3.3986932519231647,31.5
sub-064,selfneutralanticipation,3.3881140825519966,36.0
sub-064,selfneutralcue,3.564250248876256,40.885714285714286
sub-067,otherpain,3.3646844460923218,27.0
sub-067,otherpainrest,3.7981037080508617,36.0
sub-067,selfpain,4.194122076986756,27.0
sub-067,selfpainanticipation,3.221192928933747,27.0
sub-067,selfpainrest,3.638628054899054,27.0
sub-074,othernopain,3.3669231013089367,27.0
sub-074,othernopainrest,3.888327498642011,27.0
sub-074,otherpain,3.151276176229926,27.0
sub-074,otherpainpaincue,3.245893622354275,27.0
sub-074,otherpainrest,3.2086395152877243,27.0
sub-074,selfneutralanticipation,3.2456521642218648,27.0
sub-074,selfpain,3.3296103991739776,32.4
sub-074,selfpainpaincue,3.6888403748189473,27.0
sub-075,otherneutralanticipation,3.660634064537507,27.0
sub-075,otherneutralcue,3.236235675936408,27.0
sub-075,othernopain,3.2125683734032298,27.0
sub-075,othernopainrest,3.1386513716537285,27.0
sub-075,otherpainpaincue,3.3605456506978526,32.4
sub-075,otherpainrest,3.1290294660111466,27.0
sub-075,selfnopain,3.1785358443173286,27.0
sub-075,selfnopainrest,3.136575106215914,27.0
sub-075,selfpainrest,3.2977115986079317,27.0
sub-076,othernopainrest,3.2089198925606848,27.0
sub-076,otherpain,3.1344776538767114,27.0
sub-076,selfnopain,3.545838031714464,27.0
sub-076,selfpainpaincue,3.184947810064582,27.0
sub-081,otherneutralanticipation,3.166928128635516,27.0
sub-081,otherneutralcue,3.456469598490145,27.0
sub-081,selfneutralanticipation,3.2449371931375226,27.0
sub-081,selfpain,3.2716710597431056,27.0
sub-088,otherneutralanticipation,3.2302477637026574,27.0
sub-088,otherpain,3.742650023463089,40.5
sub-088,otherpainanticipation,3.1590035936177263,27.0
sub-088,otherpainpaincue,3.3596939706891273,27.0
sub-088,selfneutralanticipation,3.131350955318561,27.0
sub-088,selfneutralcue,3.1791817095399955,27.0
sub-088,selfnopain,3.311483357641967,27.0
sub-088,selfnopainrest,3.2783065232099875,27.0
sub-088,selfpain,3.2896617564940858,27.0
sub-088,selfpainanticipation,3.356770759232363,27.0
sub-102,othernopainrest,3.280031040161501,27.0
sub-102,otherpain,3.8199562383194103,54.0
sub-102,otherpainpaincue,3.3770356413442166,29.25
sub-102,otherpainrest,3.2131751599606457,27.0
sub-102,selfnopain,3.2106900290305007,27.0
sub-102,selfpainpaincue,3.475554523108331,54.0
sub-106,otherneutralanticipation,3.649607465017096,27.0
sub-106,otherneutralcue,3.144439368178968,27.0
sub-106,othernopain,3.70189981265519,27.0
sub-106,othernopainrest,3.4255469584059157,27.0
sub-106,otherpain,3.3210604403592696,27.0
sub-106,otherpainrest,3.1155077289714095,27.0
sub-106,selfnopainrest,3.1552512162301025,27.0
sub-106,selfpain,3.237058499321548,27.0
sub-106,selfpainanticipation,3.433995480969722,27.0
sub-106,selfpainrest,3.132135095057458,27.0
sub-109,otherneutralcue,3.277704789899399,27.0
sub-109,otherpainanticipation,3.3388772579681465,27.0
sub-109,otherpainpaincue,3.4447491577942655,27.0
sub-109,otherpainrest,3.2173357252387476,27.0
sub-109,selfneutralanticipation,3.1620476771592587,27.0
sub-109,selfpain,3.380406716284047,27.0
sub-109,selfpainanticipation,3.362441618878582,27.0
sub-109,selfpainpaincue,3.58933619225967,27.0
sub-109,selfpainrest,3.589777000844941,27.0
sub-115,othernopain,3.363366297540498,40.5
sub-115,othernopainrest,3.182874758563004,27.0
sub-115,otherpain,3.203984127766645,27.0
sub-115,otherpainanticipation,3.1502006164344287,27.0
sub-115,selfpain,3.4150370658663594,27.0
sub-115,selfpainanticipation,3.3541089466598573,27.0
sub-115,selfpainpaincue,3.5527480601277035,27.0
sub-115,selfpainrest,3.3129155196471247,27.0
sub-119,otherneutralanticipation,3.626854323968713,27.0
sub-119,otherneutralcue,3.22975386904179,27.0
sub-119,othernopain,3.201619442948444,27.0
sub-119,otherpainrest,3.1857649025688883,27.0
sub-119,selfnopain,3.50795181806653,33.75
sub-119,selfnopainrest,3.369720421659965,33.75
sub-122,otherneutralanticipation,3.287505809323182,27.0
sub-122,otherneutralcue,3.236982386625549,40.5
sub-122,othernopain,3.194584385603248,27.0
