Subject,Insular_Cortex_otherpainrest_MeanPeakStat,Insular_Cortex_otherpainrest_MeanClusterSize,Insular_Cortex_selfpain_MeanPeakStat,Insular_Cortex_selfpain_MeanClusterSize,Insular_Cortex_otherpain_MeanPeakStat,Insular_Cortex_otherpain_MeanClusterSize,Insular_Cortex_selfpainanticipation_MeanPeakStat,Insular_Cortex_selfpainanticipation_MeanClusterSize,Insular_Cortex_selfpainrest_MeanPeakStat,Insular_Cortex_selfpainrest_MeanClusterSize,"Cingulate_Gyrus,_anterior_division_otherpainrest_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherpainrest_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfnopain_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfnopain_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfpain_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfpain_MeanClusterSize","Cingulate_Gyrus,_anterior_division_otherpain_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherpain_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfpainpaincue_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfpainpaincue_MeanClusterSize","Cingulate_Gyrus,_anterior_division_otherneutralanticipation_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherneutralanticipation_MeanClusterSize","Cingulate_Gyrus,_anterior_division_othernopainrest_MeanPeakStat","Cingulate_Gyrus,_anterior_division_othernopainrest_MeanClusterSize",Insular_Cortex_otherpainanticipation_MeanPeakStat,Insular_Cortex_otherpainanticipation_MeanClusterSize,Insular_Cortex_selfpainpaincue_MeanPeakStat,Insular_Cortex_selfpainpaincue_MeanClusterSize,Insular_Cortex_othernopain_MeanPeakStat,Insular_Cortex_othernopain_MeanClusterSize,Insular_Cortex_othernopainrest_MeanPeakStat,Insular_Cortex_othernopainrest_MeanClusterSize,"Cingulate_Gyrus,_anterior_division_othernopain_MeanPeakStat","Cingulate_Gyrus,_anterior_division_othernopain_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfpainanticipation_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfpainanticipation_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfpainrest_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfpainrest_MeanClusterSize",Insular_Cortex_selfneutralanticipation_MeanPeakStat,Insular_Cortex_selfneutralanticipation_MeanClusterSize,Insular_Cortex_otherpainpaincue_MeanPeakStat,Insular_Cortex_otherpainpaincue_MeanClusterSize,Insular_Cortex_selfneutralcue_MeanPeakStat,Insular_Cortex_selfneutralcue_MeanClusterSize,Insular_Cortex_selfnopainrest_MeanPeakStat,Insular_Cortex_selfnopainrest_MeanClusterSize,Insular_Cortex_otherneutralanticipation_MeanPeakStat,Insular_Cortex_otherneutralanticipation_MeanClusterSize,Insular_Cortex_selfnopain_MeanPeakStat,Insular_Cortex_selfnopain_MeanClusterSize,"Cingulate_Gyrus,_anterior_division_selfneutralanticipation_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfneutralanticipation_MeanClusterSize","Cingulate_Gyrus,_anterior_division_otherpainanticipation_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherpainanticipation_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfneutralcue_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfneutralcue_MeanClusterSize","Cingulate_Gyrus,_anterior_division_selfnopainrest_MeanPeakStat","Cingulate_Gyrus,_anterior_division_selfnopainrest_MeanClusterSize","Cingulate_Gyrus,_anterior_division_otherneutralcue_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherneutralcue_MeanClusterSize",Insular_Cortex_otherneutralcue_MeanPeakStat,Insular_Cortex_otherneutralcue_MeanClusterSize,"Cingulate_Gyrus,_anterior_division_otherpainpaincue_MeanPeakStat","Cingulate_Gyrus,_anterior_division_otherpainpaincue_MeanClusterSize"
sub-001,3.709013826778733,33.75,,,,,,,3.169190185451361,27.0,3.7245968026749297,32.4,3.511530207926412,27.0,,,,,,,3.3776049708962566,27.0,,,,,,,,,,,,,,,,,3.37158414359106,27.0,3.207223364991002,27.0,,,,,,,,,3.416861090012197,45.0,,,,,3.3712042303791456,27.0,,,3.502573024440863,27.0,3.763690666621726,54.0
sub-002,3.3439205903862432,27.0,,,,,,,3.1588756642266795,27.0,,,3.3233447403273995,27.0,,,,,,,3.5797378525606884,27.0,,,,,,,,,,,3.783207648306109,54.0,3.519393209041842,45.0,3.2799062902054272,27.0,3.3641268855493514,27.0,3.602546684102171,32.4,3.6039973968844747,27.0,3.702614104684978,27.0,3.4157382045742075,27.0,3.2040246495726583,27.0,,,,,3.465128718780138,45.0,,,,,,,3.634405501859586,37.8
sub-003,,,3.453879327824509,27.0,,,,,3.6502159191001464,40.5,3.7455644855119137,27.0,3.543438017596725,27.0,3.5553381580339725,27.0,3.318748551423525,27.0,3.2759361284379116,27.0,,,,,3.3153632196747185,54.0,3.138037179292419,27.0,,,3.109441306252668,27.0,,,3.2139869337530413,27.0,3.479523659425467,27.0,,,,,,,3.3585990693740646,27.0,,,,,3.2795749511282097,27.0,4.106177493713973,27.0,,,3.5359919178400463,27.0,,,,,,
sub-004,3.365360816905364,27.0,3.4896996126152073,43.2,3.349479807286823,27.0,,,,,3.1438561747611513,27.0,,,3.9105691554312294,27.0,,,3.597071669931838,29.7,,,3.3400587298245457,27.0,,,3.2587386546838517,27.0,,,3.1853241216867514,27.0,,,,,3.469914403472779,27.0,,,3.3196666300718007,27.0,3.137166179264739,27.0,3.420526922088074,27.0,,,3.6708410235756617,27.0,,,3.1861334392114573,27.0,,,3.3778168753920212,27.0,,,,,3.3914599405728016,27.0
sub-005,3.375051471790171,36.0,,,3.608939683393895,27.0,3.498431481754329,27.0,,,,,,,,,,,,,3.4663103301676195,48.6,,,3.630984074770069,40.5,,,,,,,,,3.397032249821239,27.0,3.6233001914035254,27.0,,,,,3.3964690672239364,27.0,3.131219523575974,27.0,3.170414694758778,27.0,3.293447318262691,27.0,,,,,3.5298169977885374,54.0,3.114773322513412,27.0,,,,,,
sub-006,3.5403239077808037,54.0,,,,,,,,,,,,,,,3.103297646546607,27.0,,,,,3.3401998983735943,27.0,3.300371328547116,27.0,3.639725641924091,27.0,3.7539106301989755,54.0,,,,,,,,,3.5862121257568154,27.0,3.4740220350514157,27.0,3.167534197825427,27.0,3.1568633984823053,27.0,3.3523435916102216,27.0,3.296234922054742,27.0,,,3.5236937141673135,27.0,,,3.764283837475093,54.0,,,3.4059778257944178,27.0,3.1760713088102577,27.0
sub-007,,,3.832417776861676,27.0,3.2814258381726895,27.0,3.345256100437782,27.0,3.2898202094315923,27.0,,,,,3.189320023942479,27.0,,,,,,,3.182708479487308,27.0,,,,,,,3.1454834296141105,27.0,,,3.138249649256613,27.0,,,3.223550339413424,27.0,3.1997163218166653,27.0,,,,,,,,,,,,,,,3.5652728660635846,27.0,,,,,,
sub-008,,,,,,,3.4113494826636734,27.0,3.2442599729741546,36.0,,,3.318396601742341,27.0,,,,,,,3.2512538123618784,27.0,3.3671177770245726,27.0,3.4119270048103387,33.75,3.109697565445472,27.0,,,,,,,,,3.2236513408550915,27.0,3.277583392483238,27.0,3.2917911853157333,27.0,3.1743308644772394,40.5,3.484846802696159,27.0,3.459491873561771,27.0,3.1768452115254666,27.0,,,3.408908233841457,36.0,3.2212514565740435,33.75,3.47980382565149,27.0,,,3.113627440277196,40.5,3.1879986535077967,27.0
sub-014,,,,,3.211874510994531,27.0,,,3.4405447366050383,27.0,,,3.5682903061288904,38.25,,,,,3.205645478109092,27.0,,,3.6893107344086586,54.0,,,3.1144902711010443,27.0,,,3.5566759970753847,54.0,,,,,,,,,3.8818946687069076,27.0,,,3.827364582384748,40.5,,,3.72083976196099,50.625,,,,,,,3.3977336653886594,81.0,,,,,3.4781594089411976,27.0
sub-018,3.185326470717871,27.0,,,3.3055782118663912,27.0,3.4671854828077016,37.8,,,,,3.387542369199923,27.0,3.2741437137818927,27.0,,,3.299409864347228,27.0,3.360219746398783,54.0,3.231041003320408,27.0,4.30251697550949,54.0,,,3.2614482174438812,27.0,,,3.2733265099551936,27.0,,,,,3.315481399323136,27.0,,,3.2036168347051026,27.0,4.044772495473951,27.0,3.317594436314567,27.0,3.469761828335747,27.0,,,3.2218439700582175,40.5,,,,,,,,,3.2244461110800073,27.0
